Altitude (m),Temperature (deg C),Gravity (m/s2),Pressure (N/m2),Density (kg/m3),Dynamic Viscosity (N*s/m2)
13000,-56.49999999999997,9.766662233728276,16579.574936310582,0.26659549435304053,1.4216130796413357e-05
13100,-56.49999999999997,9.766355584088528,16321.23801968467,0.2624415001606628,1.4216130796413357e-05
13200,-56.49999999999997,9.766048948890642,16066.934337268958,0.25835235938414414,1.4216130796413357e-05
13300,-56.49999999999997,9.76574232813371,15816.600797435725,0.2543270575256009,1.4216130796413357e-05
13400,-56.49999999999997,9.765435721816829,15570.175297426293,0.25036459598792116,1.4216130796413357e-05
13500,-56.49999999999997,9.765129129939087,15327.596707821736,0.24646399182505707,1.4216130796413357e-05
13600,-56.49999999999997,9.764822552499579,15088.804857257934,0.24262427749624688,1.4216130796413357e-05
13700,-56.49999999999997,9.764515989497403,14853.740517381075,0.23884450062410303,1.4216130796413357e-05
13800,-56.49999999999997,9.764209440931648,14622.345388039928,0.23512372375650764,1.4216130796413357e-05
13900,-56.49999999999997,9.763902906801407,14394.562082711042,0.23146102413225314,1.4216130796413357e-05
14000,-56.49999999999997,9.763596387105776,14170.334114153266,0.22785549345037062,1.4216130796413357e-05
14100,-56.49999999999997,9.76328988184385,13949.605880287954,0.22430623764308688,1.4216130796413357e-05
14200,-56.49999999999997,9.762983391014718,13732.322650301301,0.22081237665235345,1.4216130796413357e-05
14300,-56.49999999999997,9.762676914617476,13518.430550965273,0.21737304420989054,1.4216130796413357e-05
14400,-56.49999999999997,9.76237045265122,13307.876553173784,0.213987387620692,1.4216130796413357e-05
14500,-56.49999999999997,9.762064005115043,13100.608458690605,0.21065456754993497,1.4216130796413357e-05
14600,-56.49999999999997,9.761757572008037,12896.57488710575,0.20737375781324185,1.4216130796413357e-05
14700,-56.49999999999997,9.761451153329299,12695.725262997013,0.20414414517024088,1.4216130796413357e-05
14800,-56.49999999999997,9.761144749077923,12498.009803293482,0.20096492912137448,1.4216130796413357e-05
14900,-56.49999999999997,9.760838359253,12303.379504837732,0.19783532170790258,1.4216130796413357e-05
15000,-56.49999999999997,9.760531983853626,12111.786132143703,0.19475454731505212,1.4216130796413357e-05
15100,-56.49999999999997,9.760225622878899,11923.182205347082,0.1917218424782622,1.4216130796413357e-05
15200,-56.49999999999997,9.759919276327908,11737.520988345184,0.18873645569247635,1.4216130796413357e-05
15300,-56.49999999999997,9.75961294419975,11554.756477123383,0.18579764722443426,1.4216130796413357e-05
15400,-56.49999999999997,9.75930662649352,11374.843388265062,0.18290468892791475,1.4216130796413357e-05
15500,-56.49999999999997,9.759000323208314,11197.737147642316,0.18005686406188495,1.4216130796413357e-05
15600,-56.49999999999997,9.758694034343222,11023.393879284438,0.17725346711150836,1.4216130796413357e-05
15700,-56.49999999999997,9.758387759897346,10851.77039442147,0.17449380361196776,1.4216130796413357e-05
15800,-56.49999999999997,9.758081499869773,10682.82418070002,0.17177718997505825,1.4216130796413357e-05
15900,-56.49999999999997,9.757775254259604,10516.513391568651,0.16910295331850692,1.4216130796413357e-05
16000,-56.49999999999997,9.757469023065934,10352.796835830177,0.16647043129797626,1.4216130796413357e-05
16100,-56.49999999999997,9.757162806287853,10191.633967358172,0.16387897194170828,1.4216130796413357e-05
16200,-56.49999999999997,9.75685660392446,10032.984874975215,0.16132793348776903,1.4216130796413357e-05
16300,-56.49999999999997,9.756550415974852,9876.810272490236,0.15881668422385167,1.4216130796413357e-05
16400,-56.49999999999997,9.75624424243812,9723.07148889248,0.1563446023295978,1.4216130796413357e-05
16500,-56.49999999999997,9.755938083313362,9571.730458699634,0.15391107572139764,1.4216130796413357e-05
16600,-56.49999999999997,9.755631938599672,9422.74971245769,0.15151550189963026,1.4216130796413357e-05
16700,-56.49999999999997,9.755325808296147,9276.092367390142,0.14915728779830495,1.4216130796413357e-05
16800,-56.49999999999997,9.755019692401882,9131.722118194144,0.1468358496370656,1.4216130796413357e-05
16900,-56.49999999999997,9.754713590915973,8989.603227981383,0.1445506127755223,1.4216130796413357e-05
17000,-56.49999999999997,9.754407503837516,8849.700519361308,0.14230101156987174,1.4216130796413357e-05
17100,-56.49999999999997,9.754101431165607,8711.979365664525,0.1400864892317716,1.4216130796413357e-05
17200,-56.49999999999997,9.75379537289934,8576.40568230413,0.13790649768943294,1.4216130796413357e-05
17300,-56.49999999999997,9.753489329037814,8442.945918272828,0.1357604974508959,1.4216130796413357e-05
17400,-56.49999999999997,9.753183299580122,8311.567047773646,0.13364795746945368,1.4216130796413357e-05
17500,-56.49999999999997,9.752877284525363,8182.236561982219,0.13156835501119205,1.4216130796413357e-05
17600,-56.49999999999997,9.752571283872632,8054.922460938521,0.12952117552461045,1.4216130796413357e-05
17700,-56.49999999999997,9.752265297621022,7929.593245565976,0.12750591251229118,1.4216130796413357e-05
17800,-56.49999999999997,9.751959325769635,7806.217909816041,0.1255220674045863,1.4216130796413357e-05
17900,-56.49999999999997,9.751653368317566,7684.765932936198,0.12356914943528875,1.4216130796413357e-05
18000,-56.49999999999997,9.751347425263909,7565.2072718594245,0.12164667551925706,1.4216130796413357e-05
18100,-56.49999999999997,9.75104149660776,7447.512353713279,0.11975417013196306,1.4216130796413357e-05
18200,-56.49999999999997,9.750735582348218,7331.652068446665,0.11789116519093225,1.4216130796413357e-05
18300,-56.49999999999997,9.75042968248438,7217.597761572446,0.11605719993904673,1.4216130796413357e-05
18400,-56.49999999999997,9.750123797015343,7105.321227024092,0.11425182082968184,1.4216130796413357e-05
18500,-56.49999999999997,9.749817925940203,6994.794700124523,0.11247458141364695,1.4216130796413357e-05
18600,-56.49999999999997,9.749512069258056,6885.990850665465,0.11072504222790314,1.4216130796413357e-05
18700,-56.49999999999997,9.749206226967999,6778.882776095477,0.10900277068602836,1.4216130796413357e-05
18800,-56.49999999999997,9.74890039906913,6673.443994815032,0.10730734097040397,1.4216130796413357e-05
18900,-56.49999999999997,9.748594585560546,6569.6484395768775,0.10563833392609419,1.4216130796413357e-05
19000,-56.49999999999997,9.748288786441345,6467.470450990115,0.10399533695639329,1.4216130796413357e-05
19100,-56.49999999999997,9.747983001710622,6366.8847711262915,0.10237794392001308,1.4216130796413357e-05
19200,-56.49999999999997,9.747677231367478,6267.866537225911,0.10078575502988515,1.4216130796413357e-05
19300,-56.49999999999997,9.747371475411006,6170.391275503821,0.0992183767535531,1.4216130796413357e-05
19400,-56.49999999999997,9.747065733840305,6074.434895051881,0.09767542171512882,1.4216130796413357e-05
19500,-56.49999999999997,9.746760006654474,5979.973681837401,0.09615650859878894,1.4216130796413357e-05
19600,-56.49999999999997,9.746454293852612,5886.98429279583,0.09466126205378664,1.4216130796413357e-05
19700,-56.49999999999997,9.74614859543381,5795.44375001622,0.09318931260095548,1.4216130796413357e-05
19800,-56.49999999999997,9.745842911397174,5705.329435018021,0.09174029654068147,1.4216130796413357e-05
19900,-56.49999999999997,9.745537241741797,5616.619083117721,0.09031385586232017,1.4216130796413357e-05
20000,-56.49999999999997,9.745231586466776,5529.29077788397,0.08890963815503643,1.4216130796413357e-05
20100,-56.46335557309811,9.744925945571214,5443.327867365565,0.08751257368350203,1.4218144670884647e-05
